ID,find_path_problem,end_start_kombinace,nejlepsi_podil_ploch,pocet_pruseciku,zeleznice_delka,rozvodniceIII_delka,vodni_plohy_rozloha,relief_rozloha,zastavba_rozloha
2,0,12,1.57,19,10267.07,5409.23,138528.54,1145.86,129623.91
18,0,5,1.47,28,2565.37,2684.22,199327.07,0.0,411377.28
19,0,32,1.56,20,3652.44,3774.48,1022922.98,29590.01,1014133.46
24,0,12,3.63,14,2313.35,1890.75,182835.21,0.0,523542.91
31,0,8,3.34,15,3985.97,8718.45,67688.28,0.0,356427.71
37,0,42,3.63,16,3038.53,4806.76,1182633.3,34570.28,790000.09
38,0,84,1.07,36,4852.33,1981.45,1628322.67,0.0,156561.33
42,0,4,1.11,24,4685.25,4083.44,209374.37,81518.88,2481822.22
45,0,15,1.0,15,1777.46,1047.92,257653.77,0.0,1514131.3
47,0,24,1.0,21,6123.72,3739.72,730018.48,35409.75,1820649.89
48,0,2,3.11,14,10697.59,5691.27,680861.92,44753.33,2389065.16
51,0,27,1.28,26,2221.63,535.51,498886.82,43648.5,430747.72
53,0,9,2.74,28,5419.72,2639.51,781373.39,0.0,503286.52
55,0,25,2.79,14,1229.27,4880.57,77271.74,5656.34,635852.61
57,0,9,1.09,15,2246.79,4237.55,82088.34,60620.09,3426950.17
61,0,12,4.94,13,5447.03,1377.33,141971.78,37.97,957696.45
66,0,12,1.23,13,5058.83,2745.11,172176.54,0.0,373674.3
71,0,8,2.27,15,5208.95,5114.11,359871.98,42026.23,3881600.51
72,38,130,1.54,17,4430.85,2791.58,603197.39,0.0,432443.41
75,30,64,4.16,12,4154.27,8759.17,195005.23,1065.46,1180854.3
81,0,35,2.37,20,2456.0,669.3,188825.26,1803.42,913847.29
92,0,6,2.85,21,4176.82,6168.79,192282.22,0.0,1526750.12
96,7,20,1.03,38,4590.66,4055.5,112406.11,59796.2,1795137.61
98,0,25,1.08,18,3318.18,1081.48,142488.84,4095.76,2010567.81
99,0,16,1.59,16,3984.54,4737.63,488031.27,26533.04,1226004.91
100,0,9,1.21,17,10265.62,3177.75,82225.02,18746.84,3482263.52
102,0,6,1.35,14,1263.59,5250.71,248544.91,0.0,1080774.44
104,0,16,1.8,22,8915.77,2610.66,2891783.12,4959.78,598094.64
107,16,72,4.75,13,6159.66,5151.27,94881.48,0.0,733259.64
108,0,8,1.62,18,1492.42,4674.94,676900.61,38200.0,1414639.63
109,10,36,1.98,18,1052.67,8484.47,181559.89,4025.79,1212096.93
110,10,27,1.01,22,8635.55,11994.53,267575.18,38321.37,2777738.13
119,0,42,1.12,23,1113.04,5945.74,909174.31,27965.4,443174.56
120,23,126,1.04,20,4320.3,2576.11,1583848.88,933.78,593367.2
121,15,70,2.31,17,4969.32,704.82,459485.53,22070.81,650547.07
122,0,80,1.2,20,6274.86,729.52,1726457.05,1745.56,416551.4
132,0,18,2.68,17,1401.6,5133.76,356104.85,0.0,449915.66
133,15,60,1.41,33,4454.96,9885.02,2824876.53,0.0,1527918.69
135,0,15,1.28,17,1035.31,1914.65,68145.84,0.0,829013.56
152,0,12,3.9,21,2258.33,5968.44,1192613.57,0.0,321732.98
154,0,15,2.03,17,11163.8,3640.6,245604.87,4005.21,752594.9
155,0,15,1.43,19,4222.57,1182.12,245746.29,75728.97,667433.24
161,0,48,1.96,17,3198.41,4940.16,331324.7,0.0,1108570.24
162,0,16,1.1,17,12959.76,2889.74,270125.09,0.0,3341051.7
164,0,33,1.01,17,10703.73,2854.85,369608.21,0.0,535701.12
166,0,35,3.23,14,4270.8,4919.41,130278.59,0.0,303371.67
172,9,18,2.34,17,1053.86,1077.25,424852.91,66607.58,1749152.58
175,14,60,2.71,20,2322.6,4967.23,75325.68,5.0,651887.62
176,0,16,2.27,21,1040.95,2769.68,302727.07,0.0,1195074.56
177,0,25,1.38,19,4885.54,3326.49,439848.74,0.0,3166811.8
191,0,10,3.63,14,6167.31,3053.1,124790.24,0.0,339306.43
203,0,12,1.15,14,11270.29,6240.78,322829.21,42166.78,1444362.41
204,0,40,1.07,14,1839.59,2554.87,327059.69,0.0,1051119.59
205,0,14,2.92,17,3437.19,925.21,90583.26,3383.01,2939718.54
214,0,20,4.38,13,5680.14,7093.55,551919.95,35301.83,675276.67
226,38,132,4.52,14,2825.26,5527.59,445050.7,64213.53,804120.26
232,30,84,1.2,15,7271.5,1359.01,109744.16,0.0,601673.42
237,13,50,3.4,16,2956.91,10794.36,1926299.73,110908.52,437521.1
238,0,6,1.83,18,3086.77,2514.31,81187.78,0.0,736840.01
247,0,152,1.19,21,4584.16,4090.45,63921.31,0.0,918022.72
248,0,18,1.23,17,3643.67,1491.32,143541.26,1.0,615955.51
249,30,60,1.03,18,9661.71,5197.32,85457.19,21622.87,1557127.7
251,0,8,2.99,16,7269.82,2692.79,174137.63,7285.02,3406753.3
260,0,5,1.07,17,6414.36,3532.78,64507.18,1663.66,1049345.78
263,0,36,1.67,25,7223.24,2388.94,230417.88,0.0,1349123.6
264,0,42,1.68,14,4456.05,1823.55,106694.62,0.0,1310102.1
266,0,12,1.41,16,7363.66,1116.17,288623.55,11964.97,1017784.33
267,0,25,1.11,19,14913.03,2233.55,456236.16,0.0,4012424.44
268,0,21,3.88,14,5394.32,7151.6,184281.85,0.0,855943.11
273,0,40,1.8,20,4293.56,2628.74,583949.37,0.0,636946.3
274,0,132,2.73,20,1693.04,1260.36,751034.57,0.0,910274.16
284,0,28,1.17,14,3967.18,2790.98,296830.58,0.0,365713.02
285,0,24,3.16,15,3005.73,4177.3,121999.39,0.0,841930.43
293,0,8,4.22,14,4823.16,4212.14,68155.52,22428.58,1961326.63
305,0,10,1.73,27,5896.84,2942.57,282521.3,28807.07,1247552.89
310,0,10,1.18,17,11383.27,4556.18,63260.29,13082.09,1488019.93
312,0,8,1.86,27,7904.63,3923.62,1149173.41,0.0,2983395.18
313,0,6,1.32,34,6863.71,8580.27,162840.48,0.0,3941816.21
317,0,28,1.88,27,6342.48,3091.84,267183.22,33778.55,670574.64
323,0,15,1.78,16,8741.54,1190.57,142592.77,0.0,1600617.41
325,6,15,3.05,30,4410.45,2803.68,83158.38,4807.07,153050.62
331,0,12,1.05,23,6302.12,2050.34,464298.98,14042.58,2777415.27
342,8,21,1.8,19,4577.52,2227.8,369349.5,1626.5,947334.83
349,0,20,1.32,22,11823.95,4638.09,1083998.85,1625.18,1547092.82
359,0,18,2.94,15,4471.47,4609.23,169295.46,5725.1,949017.47
371,0,8,3.46,19,1082.66,4781.23,199124.79,8520.68,1558358.23
372,0,14,1.93,18,1316.81,1543.26,63268.8,5376.45,800010.46
374,0,8,1.05,15,1681.55,7760.76,81571.89,656.22,1705372.21
375,0,18,2.85,14,10005.97,5440.35,165698.41,10157.69,2292668.16
384,16,65,1.62,25,5239.23,2883.3,203478.85,0.0,671553.68
399,0,32,4.38,13,3478.34,4514.35,381038.48,12214.83,1939124.42
400,0,42,1.16,25,12724.38,8901.99,179460.61,0.0,2139769.44
408,0,8,1.04,25,5039.58,2393.38,124594.11,3962.17,1127174.61
409,0,1,2.15,20,14433.72,3061.46,78259.39,0.0,2037990.47
410,0,10,1.27,21,5474.99,4342.23,104004.94,1534.62,3552685.32
412,0,95,1.23,37,6316.64,1556.41,147101.5,0.0,1467080.01
416,13,44,1.48,13,1523.32,4550.83,232020.03,2151.57,902205.18
418,0,30,3.82,15,2515.28,4632.69,501445.7,0.0,297305.46
421,7,20,1.17,21,6090.39,5784.36,458545.82,5115.77,3846914.29
422,0,3,1.34,22,4069.94,2392.57,320141.43,105804.07,3690134.48
426,0,3,3.65,14,14621.57,5757.65,93174.07,0.0,4023582.61
427,5,12,1.02,28,8816.98,2089.11,180900.98,20262.87,1799630.76
429,14,64,1.15,19,2881.99,2339.46,62860.67,0.0,886446.28
430,0,56,1.58,22,6466.71,2091.49,111505.29,11009.35,1549023.41
433,15,66,1.0,21,10139.54,3570.19,226873.49,0.0,1836178.2
434,0,80,1.69,13,4782.25,3166.4,98836.98,0.0,614279.12
440,0,15,1.05,21,4169.02,3339.24,120313.36,0.0,4437406.93
446,0,20,2.28,14,7301.68,1316.72,148494.66,0.0,1032267.45
447,0,30,2.04,21,4436.57,3078.4,364050.16,0.0,958721.1
450,0,7,3.19,16,5157.46,1870.43,72916.79,7249.27,2860682.29
451,21,132,2.8,13,4951.33,1150.13,323848.97,9.99,1452766.15
465,0,12,1.7,18,7098.0,8108.99,682884.42,28352.52,1895763.05
466,0,20,1.42,16,5074.92,3163.66,582491.15,31421.26,1383372.36
484,0,9,1.62,16,14284.6,4123.0,246020.88,0.0,5154734.41
487,0,12,1.54,19,11843.17,820.6,99434.17,4755.07,2861053.03
490,22,54,3.57,15,5347.22,6324.46,174651.3,0.0,2337215.06
495,15,72,1.65,13,1865.79,4699.77,349151.57,0.0,2124804.31
498,0,40,1.11,19,3086.74,775.87,97068.52,60046.1,774613.4
500,24,60,2.41,20,6654.29,5211.72,67809.27,0.0,2323729.73
502,0,36,2.08,17,4384.33,4788.18,66031.91,0.0,451865.5
504,0,20,1.51,15,5307.84,561.68,62712.57,18404.86,453493.65
510,0,10,3.05,13,12728.35,3842.54,738111.21,39464.58,9817047.94
520,0,6,2.85,17,14161.67,5386.41,655105.02,5877.75,1654068.01
521,6,16,1.16,20,2534.48,5043.44,63597.23,0.0,496387.72
523,0,24,1.32,27,11534.7,4581.81,326930.12,0.0,1615603.76
525,14,64,4.31,12,2021.22,833.28,105680.59,0.0,1317165.2
532,0,28,4.77,15,12020.31,5125.06,76909.07,67606.24,1090960.61
537,0,24,1.54,18,14853.68,3664.61,732649.97,24962.01,1710522.8
544,0,3,2.44,17,5982.61,6369.2,924992.72,0.0,4188349.36
545,0,8,1.87,19,2534.94,5784.23,366172.28,0.0,1153738.59
547,0,12,1.6,16,4456.29,4421.1,1406146.4,0.0,1011852.52
