ID,predvyber326_ANO,vodni_nadrz_rozloha,delka_vrstevnic
1890,1,14898.46,121837.69
1891,1,23033.65,192319.73
4571,1,83201.73,256007.65
6081,1,23298.47,127916.4
6085,1,59310.99,112987.8
6174,1,24615.28,121864.95
6177,1,1843.92,145913.8
6274,1,25889.11,504879.27
8223,1,58898.26,136905.79
8415,1,25438.48,474929.64
10188,1,35939.48,272371.34
10411,1,0.0,228297.81
10494,1,14898.46,117636.39
10873,1,47247.67,142025.69
12357,1,25880.33,298843.67
12492,1,16381.03,142867.71
12582,1,424.81,249878.97
12761,1,2106.36,564295.46
13159,1,75577.54,134422.58
14519,1,25821.58,315584.6
14697,1,43358.09,139061.93
14795,1,3688.57,125673.97
16950,1,2205.35,143066.92
18660,1,56090.16,120152.98
19009,1,4981.2,195436.84
19015,1,13343.3,152759.18
19169,1,13482.65,152177.56
21141,1,2932.8,192089.5
21148,1,54047.87,112280.68
21237,1,9424.75,104652.69
21337,1,2106.36,496667.11
21710,1,9801.54,188013.45
23388,1,10205.6,130177.72
23863,1,8252.72,255918.87
25465,1,62092.41,110477.77
25469,1,0.0,131968.02
25551,1,10205.6,148212.66
27777,1,9785.78,200636.57
29718,1,10554.71,177478.41
31425,1,72547.39,141472.77
31641,1,13876.24,287154.91
31826,1,48711.55,112521.55
31920,1,424.81,233135.38
31961,1,13115.6,122822.89
32001,1,10205.6,113557.89
33983,1,43838.71,163486.44
34112,1,7910.38,116146.19
37,1,44548.38,474533.8
90,1,4279.58,246936.66
418,1,88890.9,341546.33
420,1,56295.41,182805.08
901,1,8581.09,464868.86
983,1,42211.73,282579.57
1077,1,32967.51,531698.64
1082,1,15792.19,612517.78
1274,1,86609.22,123353.49
1519,1,96680.66,101806.46
1660,1,97592.91,512810.75
1676,1,64708.51,121055.67
1708,1,28279.6,755685.16
1714,1,6914.12,154984.82
1756,1,18430.25,731376.67
1767,1,62850.18,117267.8
1811,1,0.0,214715.66
1813,1,58913.02,137496.28
2044,1,3243.93,813814.0
2049,1,28122.94,191442.69
2083,1,53491.18,619774.63
2253,1,4272.18,266702.67
2259,1,81566.95,191560.04
2591,1,97515.54,353670.86
2593,1,54106.15,180467.26
2597,1,30812.47,310754.33
3030,1,28396.21,422672.67
3071,1,4786.78,492014.08
3151,1,17681.36,268246.2
3252,1,19449.89,500593.62
3426,1,11581.24,608650.39
3493,1,96710.13,160130.89
3634,1,40563.99,420223.08
3833,1,12285.05,602273.95
3887,1,6903.28,148990.01
3933,1,63170.25,103161.09
3979,1,0.0,133246.08
3980,1,0.0,228680.97
3982,1,65972.29,114752.66
4020,1,10294.67,141341.64
4058,1,18635.2,100742.72
4060,1,26458.27,186781.01
4088,1,8532.85,143031.61
4209,1,2616.52,944334.66
4249,1,44870.3,580306.98
4750,1,34671.72,300409.42
5223,1,4590.51,508430.96
5397,1,35575.08,505258.67
5438,1,11252.72,404760.01
5983,1,6868.63,675330.07
6035,1,6405.41,122919.61
6128,1,0.0,139354.86
6129,1,72198.83,252854.76
6130,1,14740.6,161148.23
6131,1,71949.7,101276.66
6244,1,6198.66,142531.15
6307,1,2089.3,493579.61
6308,1,903.13,746661.01
6605,1,89062.81,138223.44
6849,1,84680.53,243161.53
6894,1,40994.77,252308.41
7483,1,4062.91,376846.78
7535,1,43994.21,510940.79
7537,1,17605.1,607230.47
7634,1,76737.11,162301.45
7734,1,90593.78,111634.46
8040,1,17305.67,218964.53
8135,1,59510.34,154356.02
8172,1,22253.03,118352.9
8211,1,19499.18,708431.98
8222,1,6486.01,148234.47
8266,1,0.0,184407.77
8268,1,31962.18,150669.01
8269,1,45346.22,112505.44
8350,1,6562.33,165060.72
8383,1,8161.24,145886.21
8447,1,1180.26,793386.22
8668,1,14867.13,512877.27
9066,1,83025.66,201619.72
9591,1,31485.24,281680.24
9635,1,7717.97,299237.59
9690,1,38220.76,475766.41
9735,1,70853.7,542888.74
9885,1,98059.04,130901.4
9924,1,98583.01,135977.47
10061,1,44117.78,101430.88
10263,1,71901.02,541552.03
10279,1,58686.75,109085.65
10316,1,8075.09,177916.64
10365,1,68206.29,118756.28
10366,1,12223.42,121477.11
10410,1,0.0,113404.79
10559,1,7536.92,275396.53
10829,1,36681.46,462115.65
11629,1,27033.46,383135.77
11669,1,3903.89,460954.38
11797,1,7476.17,365498.49
11854,1,16435.45,486215.26
11860,1,5806.62,596001.25
11861,1,5631.35,463084.6
12023,1,21033.12,619000.35
12046,1,87164.82,107608.58
12346,1,47042.18,655071.34
12432,1,10552.82,632995.37
12483,1,8064.25,160198.73
12531,1,31643.42,130312.76
12532,1,66945.55,109368.85
12570,1,19328.11,555108.49
12581,1,0.0,119117.1
12584,1,54108.93,145120.32
12624,1,31139.12,145139.17
12863,1,33963.95,725991.34
12992,1,45398.28,410717.37
13365,1,34726.7,278332.24
13827,1,3132.3,502072.75
13959,1,5960.12,378757.3
14184,1,18362.13,536567.28
14598,1,6667.93,700523.79
14698,1,54408.44,105742.29
14746,1,0.0,147619.82
14747,1,1917.75,260612.13
14838,1,49698.29,270133.47
15034,1,44853.14,746548.02
15983,1,5668.39,522018.68
16336,1,8725.45,519316.99
16851,1,28607.23,131214.8
16852,1,50503.07,115851.8
16888,1,1764.92,259360.04
16902,1,0.0,207088.17
17056,1,10678.29,241866.26
17659,1,86679.28,217678.66
17701,1,52508.42,283184.85
18236,1,14856.46,292358.7
18288,1,92109.46,317369.0
18332,1,2139.36,648450.86
18333,1,11093.47,444154.22
18450,1,2995.83,597574.5
18926,1,59208.25,169052.17
18964,1,17787.14,102087.0
18999,1,0.0,362732.48
19003,1,25701.3,633670.03
19004,1,40015.47,658910.45
19016,1,53635.14,121315.09
19144,1,88445.78,166901.03
19263,1,3410.66,630293.52
19297,1,73092.99,150912.16
19481,1,15077.33,326207.22
19579,1,14012.85,115811.55
19792,1,60588.65,193753.36
19833,1,26624.61,315667.64
20119,1,31677.4,264610.0
20287,1,69547.7,390435.64
20460,1,968.8,611364.69
20461,1,11247.27,533535.76
20583,1,13824.27,575204.39
20708,1,69568.35,138895.53
20876,1,22257.87,119045.18
21096,1,1892.9,104798.06
21132,1,0.0,388711.99
21136,1,8747.37,662648.04
21307,1,2791.18,218434.86
21433,1,99444.34,125509.7
21559,1,34698.55,626407.38
21570,1,17999.76,423896.31
21630,1,2425.67,365742.76
21720,1,72683.77,279598.53
21880,1,51272.46,444391.1
21926,1,83692.4,209568.9
21970,1,24039.82,291913.74
22519,1,97825.86,251297.77
22582,1,6882.32,525297.05
23006,1,50177.93,412008.2
23074,1,18513.51,259058.75
23249,1,14511.49,176510.1
23251,1,6903.28,121597.71
23252,1,21773.13,108540.67
23292,1,12578.86,663990.22
23304,1,57429.9,107886.94
23305,1,10477.54,189573.92
23427,1,25477.51,217961.93
23458,1,4707.23,209207.66
23583,1,73110.94,198313.35
23724,1,28261.79,465045.08
23783,1,3769.31,310761.89
24118,1,86196.89,178442.74
24124,1,48260.7,228299.82
24733,1,45150.33,404649.44
24776,1,7737.54,582858.85
25377,1,64406.42,139170.13
25416,1,6914.12,123971.26
25457,1,23195.01,638241.85
25463,1,5901.98,211284.96
25468,1,59904.17,122841.86
25511,1,58563.93,100210.1
25591,1,21867.61,205751.42
25619,1,4085.65,184911.58
25745,1,74664.58,197061.73
25746,1,69247.89,179785.59
26253,1,93609.62,170058.72
26287,1,85399.26,323391.25
26294,1,40197.77,281266.13
26523,1,97000.08,279368.55
26844,1,10745.17,305537.35
26892,1,44423.83,434260.55
27048,1,50101.88,263730.6
27056,1,11721.28,557789.78
27078,1,97436.76,143193.69
27122,1,74205.41,152165.94
27570,1,25553.2,109101.6
27607,1,1764.92,289231.17
27611,1,27530.32,611679.23
27622,1,46364.32,109666.46
27623,1,1259.01,227628.2
27750,1,97705.38,189194.93
27898,1,72504.2,202708.56
28079,1,9604.05,300743.1
28189,1,14330.83,328838.29
28434,1,97855.76,267837.34
28442,1,13354.32,314985.15
28730,1,31677.4,221077.66
29036,1,21278.04,423634.13
29081,1,2502.51,612279.75
29082,1,20714.83,476657.21
29200,1,35873.04,311577.6
29208,1,18362.13,551105.88
29273,1,94345.12,142856.63
29625,1,7690.28,672157.39
29666,1,7449.47,611717.72
29721,1,38987.27,109543.51
29722,1,9715.38,128812.69
29773,1,1259.01,175998.55
29774,1,424.81,232726.38
29930,1,7684.12,279353.86
30054,1,88289.13,156970.96
30066,1,47196.69,866120.33
30197,1,18376.55,438805.61
30235,1,10244.17,243396.97
30352,1,29604.63,336585.38
