ID,bezVodniPlochy
8,1
9,1
14,1
15,1
24,1
25,1
31,1
42,1
43,1
44,1
45,1
46,1
51,1
58,1
65,1
67,1
69,1
78,1
82,1
84,1
89,1
92,1
96,1
98,1
99,1
102,1
107,1
109,1
110,1
111,1
115,1
117,1
118,1
119,1
123,1
128,1
129,1
131,1
134,1
135,1
137,1
141,1
144,1
150,1
155,1
157,1
159,1
161,1
162,1
163,1
167,1
169,1
178,1
181,1
191,1
192,1
194,1
196,1
198,1
201,1
203,1
208,1
209,1
213,1
216,1
219,1
220,1
221,1
224,1
228,1
229,1
231,1
233,1
235,1
236,1
242,1
248,1
252,1
253,1
255,1
258,1
262,1
264,1
265,1
266,1
272,1
281,1
282,1
285,1
291,1
292,1
293,1
294,1
295,1
296,1
297,1
304,1
305,1
319,1
320,1
323,1
324,1
325,1
327,1
332,1
342,1
344,1
351,1
354,1
355,1
356,1
374,1
377,1
379,1
381,1
390,1
392,1
398,1
400,1
407,1
412,1
414,1
426,1
427,1
429,1
431,1
433,1
435,1
438,1
441,1
444,1
454,1
461,1
465,1
467,1
469,1
472,1
477,1
480,1
481,1
483,1
484,1
487,1
488,1
495,1
498,1
503,1
506,1
511,1
514,1
516,1
520,1
521,1
525,1
526,1
527,1
530,1
531,1
536,1
537,1
555,1
556,1
557,1
565,1
569,1
575,1
577,1
580,1
589,1
590,1
596,1
597,1
598,1
599,1
600,1
604,1
608,1
609,1
612,1
613,1
622,1
626,1
628,1
629,1
630,1
631,1
640,1
642,1
645,1
646,1
647,1
650,1
653,1
655,1
656,1
660,1
662,1
664,1
665,1
675,1
679,1
686,1
687,1
690,1
691,1
692,1
694,1
699,1
702,1
708,1
711,1
714,1
715,1
719,1
720,1
721,1
723,1
724,1
726,1
727,1
734,1
735,1
739,1
740,1
745,1
746,1
749,1
750,1
752,1
755,1
756,1
759,1
761,1
762,1
767,1
774,1
776,1
777,1
779,1
782,1
787,1
788,1
792,1
794,1
796,1
798,1
802,1
809,1
812,1
813,1
814,1
819,1
820,1
821,1
824,1
827,1
829,1
830,1
831,1
833,1
834,1
845,1
849,1
855,1
856,1
860,1
864,1
868,1
870,1
871,1
872,1
875,1
877,1
883,1
886,1
887,1
893,1
894,1
902,1
908,1
912,1
914,1
915,1
919,1
920,1
922,1
923,1
924,1
925,1
929,1
934,1
942,1
948,1
950,1
956,1
958,1
962,1
964,1
969,1
970,1
973,1
975,1
990,1
992,1
999,1
1000,1
1003,1
1006,1
1007,1
1009,1
1013,1
1014,1
1017,1
1021,1
1022,1
1023,1
1024,1
1025,1
1029,1
1030,1
1032,1
1038,1
1040,1
1042,1
1044,1
1053,1
1057,1
1059,1
1063,1
1064,1
1065,1
1066,1
1070,1
1071,1
1074,1
1078,1
1080,1
1081,1
1084,1
1085,1
1087,1
1090,1
1092,1
1097,1
1100,1
1102,1
1108,1
1112,1
1125,1
1126,1
1131,1
1134,1
1139,1
1143,1
1149,1
1161,1
1163,1
1164,1
1169,1
1170,1
1173,1
1175,1
1177,1
1179,1
1180,1
1182,1
1184,1
1185,1
1186,1
1187,1
1188,1
1191,1
1195,1
1196,1
1201,1
1205,1
1207,1
1208,1
1213,1
1214,1
1216,1
1217,1
1218,1
1223,1
1227,1
1232,1
1233,1
1237,1
1245,1
1246,1
1261,1
1266,1
1270,1
1271,1
1275,1
1277,1
1280,1
1282,1
1283,1
1284,1
1285,1
1290,1
1291,1
1296,1
1297,1
1301,1
1302,1
1304,1
1307,1
1315,1
1336,1
1338,1
1340,1
1344,1
1345,1
1354,1
1358,1
1359,1
1360,1
1373,1
1374,1
1377,1
1380,1
1384,1
1387,1
1388,1
1390,1
1394,1
1397,1
1400,1
1404,1
1406,1
1407,1
1408,1
1412,1
1413,1
1414,1
1415,1
1417,1
1422,1
1435,1
1438,1
1444,1
1451,1
1452,1
1456,1
1463,1
1465,1
1468,1
1469,1
1471,1
1473,1
1483,1
1496,1
1500,1
1501,1
1505,1
1507,1
1510,1
1515,1
1517,1
1518,1
1525,1
1528,1
1529,1
1530,1
1531,1
1535,1
1536,1
1541,1
1544,1
1547,1
1548,1
1554,1
1555,1
1556,1
1562,1
1576,1
1577,1
1578,1
1579,1
1583,1
1586,1
1587,1
1593,1
1594,1
1597,1
1602,1
1603,1
1608,1
1609,1
1618,1
1619,1
1620,1
1622,1
1625,1
1629,1
1630,1
1633,1
1634,1
1636,1
1637,1
1639,1
1640,1
1649,1
1651,1
1652,1
1663,1
1664,1
1669,1
1670,1
1671,1
1672,1
1673,1
1678,1
1679,1
1682,1
1684,1
1688,1
1689,1
1690,1
1691,1
1692,1
1694,1
1698,1
1701,1
1704,1
1706,1
1707,1
1709,1
1710,1
1712,1
1717,1
1718,1
1719,1
1720,1
1726,1
1728,1
1732,1
1733,1
1736,1
1739,1
1746,1
1751,1
1762,1
1768,1
1769,1
1772,1
1773,1
1778,1
1779,1
1781,1
1782,1
1784,1
1785,1
1787,1
1790,1
1791,1
1796,1
1799,1
1807,1
1820,1
1824,1
1826,1
1827,1
1828,1
1831,1
1832,1
1839,1
1847,1
1848,1
1850,1
1858,1
1861,1
1863,1
1870,1
1886,1
1887,1
1889,1
1894,1
1895,1
1897,1
1899,1
1900,1
1902,1
1906,1
1924,1
1931,1
1933,1
1934,1
1935,1
1937,1
1938,1
1939,1
1941,1
1944,1
1949,1
1953,1
1954,1
1959,1
1961,1
1963,1
1964,1
1966,1
1969,1
1979,1
1980,1
1981,1
1988,1
1991,1
1992,1
1994,1
2004,1
2011,1
2012,1
2016,1
2023,1
2029,1
2032,1
2035,1
2036,1
2045,1
2052,1
2055,1
2056,1
2068,1
2073,1
2075,1
2076,1
2080,1
2081,1
2085,1
2086,1
2090,1
2103,1
2104,1
2106,1
2107,1
2112,1
2114,1
2115,1
2116,1
2119,1
2131,1
2135,1
2138,1
2145,1
2151,1
2155,1
2156,1
2164,1
2179,1
2182,1
2184,1
2185,1
2189,1
2202,1
2204,1
2205,1
2206,1
2208,1
2219,1
2227,1
2228,1
2230,1
2239,1
2244,1
2246,1
2247,1
