ID,vhodny_ziv,vhodny_soucet,vhodny_pocet,vrstevnice_orig
0,99999,99999.0,99999.0,99999.0
1,10,115.0,31.0,185.0
2,10,142.0,43.0,142.0
3,10,111.0,28.0,139.0
4,99999,99999.0,99999.0,11.0
5,10,115.0,31.0,124.0
6,99999,99999.0,99999.0,8.0
7,99999,99999.0,99999.0,17.0
8,99999,99999.0,99999.0,6.0
9,99999,99999.0,99999.0,8.0
10,20,87.0,22.0,126.0
11,5,147.0,54.0,105.0
12,10,130.0,28.0,111.0
13,5,84.0,25.0,43.0
14,5,53.0,19.0,28.0
15,99999,99999.0,99999.0,13.0
16,99999,99999.0,99999.0,30.0
17,10,154.0,31.0,106.0
18,5,148.0,48.0,49.0
19,10,90.0,23.0,83.0
20,99999,99999.0,99999.0,45.0
21,5,39.0,14.0,33.0
22,99999,99999.0,99999.0,25.0
23,5,64.0,18.0,53.0
24,99999,99999.0,99999.0,19.0
25,99999,99999.0,99999.0,25.0
26,99999,99999.0,99999.0,14.0
27,99999,99999.0,99999.0,23.0
28,99999,99999.0,99999.0,11.0
29,99999,99999.0,99999.0,26.0
30,5,64.0,26.0,34.0
31,5,65.0,23.0,37.0
32,10,79.0,24.0,121.0
33,5,51.0,12.0,16.0
34,20,77.0,24.0,265.0
35,20,67.0,22.0,194.0
36,5,84.0,27.0,74.0
37,10,107.0,29.0,128.0
38,5,55.0,16.0,35.0
39,99999,99999.0,99999.0,21.0
40,5,55.0,15.0,52.0
41,5,63.0,21.0,91.0
42,10,90.0,20.0,119.0
43,5,77.0,21.0,55.0
44,99999,99999.0,99999.0,23.0
45,99999,99999.0,99999.0,48.0
46,5,142.0,55.0,77.0
47,99999,99999.0,99999.0,15.0
48,5,25.0,6.0,9.0
49,99999,99999.0,99999.0,19.0
50,20,112.0,33.0,294.0
51,10,99.0,25.0,98.0
52,5,157.0,39.0,64.0
53,5,79.0,19.0,22.0
54,5,82.0,20.0,31.0
55,5,80.0,20.0,36.0
56,5,92.0,29.0,69.0
57,5,104.0,27.0,50.0
58,5,29.0,10.0,13.0
59,5,55.0,12.0,25.0
60,20,103.0,29.0,178.0
61,20,72.0,15.0,228.0
62,10,143.0,41.0,161.0
63,10,134.0,35.0,164.0
64,10,92.0,29.0,195.0
65,5,126.0,29.0,68.0
66,5,141.0,33.0,56.0
67,5,88.0,27.0,96.0
68,5,86.0,18.0,47.0
69,10,162.0,50.0,138.0
70,99999,99999.0,99999.0,13.0
71,10,114.0,30.0,67.0
72,99999,99999.0,99999.0,11.0
73,5,100.0,25.0,104.0
74,5,108.0,32.0,50.0
75,5,64.0,18.0,18.0
76,10,102.0,19.0,106.0
77,20,113.0,31.0,275.0
78,99999,99999.0,99999.0,11.0
79,10,89.0,20.0,72.0
80,99999,99999.0,99999.0,89.0
81,99999,99999.0,99999.0,21.0
82,99999,99999.0,99999.0,20.0
83,99999,99999.0,99999.0,49.0
84,20,91.0,23.0,156.0
85,5,97.0,31.0,55.0
86,5,87.0,25.0,30.0
87,5,70.0,20.0,34.0
88,10,86.0,24.0,84.0
89,5,133.0,35.0,108.0
90,5,165.0,45.0,165.0
91,5,119.0,36.0,103.0
92,5,98.0,28.0,53.0
