ID,zeleznice_delka,vrstevnice_pocet,vodni_plohy_rozloha,dibA02_delka,relief_rozloha,zastavba_rozloha
1,2916.8,268.0,100013.45,13477.08,197106.33,452304.47
2,1746.48,211.0,75317.79,11445.57,106362.35,598476.56
3,3037.87,273.0,102853.89,20013.6,27378.37,169553.29
4,1496.63,236.0,1253150.84,7025.02,609169.86,716973.51
5,6191.81,193.0,511724.21,15890.52,269874.62,317985.96
6,1408.24,241.0,258186.04,12797.69,31231.8,263130.69
7,8159.37,149.0,57957.23,12937.78,0.0,36036.2
8,4966.66,111.0,160687.88,15482.5,23967.96,222435.68
9,4845.12,85.0,123610.36,16860.81,3668.46,566867.17
10,2537.27,161.0,3363865.93,11250.1,39562.61,397833.27
11,6655.74,122.0,5928531.35,5372.48,0.0,571615.25
12,289.1,164.0,1593322.41,11642.44,12009.37,498498.22
13,2456.78,248.0,149281.34,12296.91,0.0,390396.39
14,4501.67,177.0,62555.03,18590.3,1.0,501993.86
15,4409.72,30.0,30111.35,0.0,5390.45,282823.96
16,5656.54,19.0,262306.11,2531.23,0.0,1950653.97
17,581.02,130.0,9140.73,26526.27,7721.95,66697.3
18,6790.83,109.0,1986826.57,16570.99,13420.8,535828.3
19,3080.57,157.0,1897854.84,13192.17,36464.77,510629.34
20,753.65,128.0,1066142.07,16020.54,5186.89,516676.05
21,6872.27,150.0,1001677.92,12210.99,4550.67,241204.3
22,7419.22,180.0,53593.9,15119.76,86919.38,188113.07
23,5663.37,206.0,43631.41,15792.77,32919.6,141038.22
24,5738.96,254.0,214418.66,12031.89,36755.96,1386023.5
25,6488.6,79.0,97210.25,17538.53,0.0,767507.72
26,4032.34,19.0,69165.6,9881.36,0.0,74962.02
27,1131.34,61.0,2582803.0,3206.55,0.0,404859.21
28,4218.33,22.0,2100420.78,2648.15,0.0,200614.29
29,2117.13,12.0,445296.74,2216.2,0.0,985090.33
30,17833.41,11.0,317371.51,1405.85,2189.4,2848397.69
31,4026.74,20.0,95441.07,1053.38,21668.22,883242.53
33,1448.85,158.0,1240653.56,17557.01,214693.24,178698.03
34,1144.92,239.0,94233.36,11158.51,9289.34,2926763.94
35,1416.94,226.0,390708.93,19823.92,0.0,682882.69
36,6804.0,295.0,87594.93,21439.49,24343.43,1607873.12
37,4202.11,195.0,454469.33,10352.7,34193.65,1814820.62
38,5578.83,79.0,1137656.24,10520.96,25103.05,1259279.3
39,4075.21,40.0,1659109.23,19363.33,0.0,177642.39
40,3540.62,24.0,721527.96,21714.53,0.0,244247.46
41,1766.27,21.0,20157.19,35056.8,0.0,153161.38
42,4998.09,109.0,40091.92,438.89,6481.09,1159198.43
43,3681.69,30.0,167663.53,1637.49,0.0,726527.75
44,4012.23,40.0,140208.8,846.83,0.0,341311.22
45,4397.14,30.0,104714.06,2469.56,37717.68,850209.27
46,9420.07,52.0,70898.06,4694.17,35218.35,623982.39
47,6859.8,38.0,342074.61,1969.27,129508.83,1761739.53
48,3383.79,134.0,17970.89,2772.04,4386.26,2453418.51
49,454.04,16.0,1010765.8,5962.88,0.0,1925615.95
