ID,celkova_delka,r0,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10
1,13302.96,0,0,0,354.98,8470.45,4227.67,249.87,0,0,0,0
2,16018.8,741.85,0,0,5791.02,8931.43,554.51,0,0,0,0,0
3,8956.89,0,0,0,2867.6,2866.33,1844.0,1378.95,0,0,0,0
4,0.0,0,0,0,0,0,0,0,0,0,0,0
5,12930.14,0,0,0,1900.49,8139.56,2808.83,21.89,59.36,0,0,0
6,1046.5,0,0,975.53,0,0,70.98,0,0,0,0,0
7,19894.51,0,0,94.41,0.58,9744.86,9478.24,576.42,0,0,0,0
8,11968.73,0,0,4664.2,3487.79,547.53,3208.0,61.22,0,0,0,0
9,0.0,0,0,0,0,0,0,0,0,0,0,0
10,27628.22,0,0,71.38,7095.68,10239.66,8568.21,987.07,490.29,175.93,0,0
11,18043.12,0,0,0,836.18,8627.05,7408.94,1170.95,0,0,0,0
12,10580.12,0,0,0,0,0,2300.78,4726.14,2772.5,611.53,169.17,0
13,12199.4,557.65,0,0,0,4453.25,4474.88,1647.75,528.04,537.83,0,0
14,11335.6,1984.95,0,0,0,5478.51,3400.8,471.34,0,0,0,0
15,1561.85,0,0,1561.85,0,0,0,0,0,0,0,0
16,0.0,0,0,0,0,0,0,0,0,0,0,0
17,37873.41,0,0,5782.94,17305.48,8738.73,5163.92,719.23,163.1,0,0,0
18,21893.15,0,0,0,6080.08,8422.79,5571.57,1562.02,160.84,95.84,0,0
19,19765.13,0,0,0,6178.22,8495.36,4017.97,1073.58,0,0,0,0
20,38227.9,0,0,0,0,5667.93,14943.14,12862.85,2624.44,1354.71,774.83,0
21,29310.17,0,0,0,0,0,10938.5,13900.05,3452.26,1019.37,0,0
22,32955.02,0,0,0,2651.94,7478.63,8584.43,11830.74,2088.24,321.04,0,0
23,10349.87,0,0,0,5520.74,4176.04,653.1,0,0,0,0,0
24,11822.41,0,0,0,4280.46,6655.9,605.68,280.39,0,0,0,0
25,2447.49,0,0,0,0,0,2122.37,325.11,0,0,0,0
26,1561.21,0,0,0,0,0,1429.35,131.86,0,0,0,0
27,9689.5,0,0,0,0,2916.77,4783.8,1988.94,0,0,0,0
28,12965.06,0,0,0,800.92,4568.71,5682.39,1913.03,0,0,0,0
29,10671.21,0,0,0,2379.86,6136.01,1115.68,1039.66,0,0,0,0
30,9617.53,1265.42,0,0,0,3762.06,3681.36,908.69,0,0,0,0
31,12810.25,2100.18,0,0,0,831.22,8060.06,1818.79,0,0,0,0
32,5998.11,0,0,0,0,0,359.23,5566.92,71.96,0,0,0
33,0.0,0,0,0,0,0,0,0,0,0,0,0
34,30918.76,0,0,647.03,7868.78,9114.36,11334.43,1628.3,325.88,0,0,0
35,36797.2,489.87,0,6304.94,10592.95,12701.95,6078.97,628.52,0,0,0,0
36,12463.93,0,0,0,5022.49,5127.04,2051.08,263.32,0,0,0,0
37,23527.42,0,0,0,5087.11,10158.27,7690.28,591.76,0,0,0,0
38,34861.36,0,0,0,0,7119.4,14690.43,10893.83,1803.67,354.03,0,0
39,27318.99,0,0,0,0,1282.14,3978.72,9439.24,11225.91,1314.11,78.88,0
40,20215.09,0,0,0,0,8694.41,9444.21,1763.36,313.11,0,0,0
41,0.0,0,0,0,0,0,0,0,0,0,0,0
42,12919.85,0,0,0,5266.24,7606.49,47.12,0,0,0,0,0
43,4961.67,0,0,0,2674.17,734.28,918.89,634.34,0,0,0,0
44,642.68,0,0,0,0,642.68,0,0,0,0,0,0
45,20982.71,0,0,0,241.05,9236.55,11354.6,150.51,0,0,0,0
46,3928.26,0,0,0,0,878.62,2169.74,879.9,0,0,0,0
47,16929.08,0,0,2094.72,1470.77,5197.62,7947.21,218.76,0,0,0,0
48,8526.03,0,0,4046.98,4350.57,128.48,0,0,0,0,0,0
49,0.0,0,0,0,0,0,0,0,0,0,0,0
50,10430.5,10430.5,0,0,0,0,0,0,0,0,0,0
51,23183.23,0,0,3773.33,8102.77,6058.47,3311.6,792.74,522.36,621.96,0,0
52,18380.44,0,0,0,1696.44,8318.59,5857.28,2356.11,152.02,0,0,0
53,29952.5,4.32,0,0,0,7385.44,12739.94,8826.26,996.54,0,0,0
54,12720.45,0,0,0,0,0,4179.49,5839.68,2531.07,37.61,132.61,0
55,19567.38,0,0,0,0,6832.15,4015.98,4590.65,4128.6,0,0,0
56,15967.8,0,0,0,0,6023.36,943.1,3712.93,4342.85,945.57,0,0
57,7019.92,0,0,0,0,5321.76,1698.16,0,0,0,0,0
58,18665.87,0,0,0,0,3569.26,14998.4,98.2,0,0,0,0
59,2142.34,0,0,986.01,1156.33,0,0,0,0,0,0,0
60,16323.53,3711.85,0,0,3639.98,6081.45,492.34,1507.8,840.34,49.77,0,0
61,12277.0,0,0,0,0,6388.61,4896.98,616.45,374.95,0,0,0
62,9660.92,0,0,0,0,846.14,4440.13,3639.53,735.12,0,0,0
63,12061.34,0,0,0,3422.93,6138.37,2107.2,392.85,0,0,0,0
64,16308.83,0,0,0,5987.08,6766.52,3539.06,16.17,0,0,0,0
65,12258.46,0,0,1945.91,6209.72,2946.3,1156.53,0,0,0,0,0
66,18168.86,0,0,0,0,4343.41,8762.49,3085.94,1977.01,0,0,0
67,12381.16,0,0,0,0,1188.31,7502.09,3389.15,301.62,0,0,0
68,6485.42,0,0,0,0,0,0,0,0,4618.7,1838.7,28.02
69,17047.95,0,0,0,0,739.03,6030.97,8704.96,1572.99,0,0,0
70,25838.3,126.49,0,5144.89,14707.93,5540.92,318.08,0,0,0,0,0
71,16422.47,0,0,0,5078.07,8232.57,3111.82,0,0,0,0,0
72,21295.25,58.72,0,0,4116.58,10345.71,4332.66,2215.47,226.11,0,0,0
73,3327.67,0,0,0,0,0,782.85,740.51,1550.93,253.38,0,0
